player,position,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
Jonas Knutsen,C,59,10,11,21,0.36,43,6,0
Travis McEvoy,RW,65,8,13,21,0.32,54,-5,0
Chase Clayton,C,60,5,16,21,0.35,46,4,0
Austin Vetterl,RW,66,5,16,21,0.32,34,-17,0
Kyle Becker,D,57,4,17,21,0.37,28,-11,0
Tyler Morrison,D,64,2,19,21,0.33,18,-25,0
Carter Rigby,LW,34,12,8,20,0.59,62,18,0
Braden Christoffer,LW,69,11,9,20,0.29,91,-18,0
Wyatt Johnson,C,56,10,10,20,0.36,44,3,0
Carson Samoridny,RW,60,10,10,20,0.33,48,6,0
Josh Derko,LW,53,8,12,20,0.38,119,-9,0
Reid Gardiner,RW,54,7,13,20,0.37,28,13,0
Jerret Smith,D,71,1,19,20,0.28,33,-22,0
Charles Inglis,C,32,11,8,19,0.59,49,-10,0
Cory Millette,LW,47,10,9,19,0.4,22,-6,0
Presten Kopeck,C,64,10,9,19,0.3,22,15,0
Alex Forsberg,LW,31,9,10,19,0.61,15,-18,0
Matt Revel,C,61,7,12,19,0.31,18,6,0
Tyler King,D,53,6,13,19,0.36,20,10,0
Caleb Belter,RW,56,6,13,19,0.34,47,-15,0
MacKenzie Johnston,D,49,5,14,19,0.39,28,29,0
Emil Sylvegård,LW,68,4,15,19,0.28,32,-11,0
Marc McCoy,C,58,8,10,18,0.31,59,-4,0
Adam de Champlain,C,60,8,10,18,0.3,177,11,0
Riley Kieser,C,71,7,11,18,0.25,29,-15,0
Marek Kalus,LW,38,4,14,18,0.47,10,-6,0
Jesse Zgraggen,D,64,4,14,18,0.28,66,8,0
Colton Jobke,D,31,3,15,18,0.58,58,-9,0
Dominik Volek,W,32,9,8,17,0.53,14,-4,0
Daulton Siwak,C,38,9,8,17,0.45,5,-18,0
Henrik Nyberg,RW,54,8,9,17,0.31,37,11,0
Craig Leverton,LW,61,7,10,17,0.28,35,-4,0
Torrin White,RW,43,6,11,17,0.4,18,-15,0
Anthony Ast,C,38,5,12,17,0.45,18,-8,0
Ty Mappin,C,63,5,12,17,0.27,46,-26,0
Luke Fenske,D,45,2,15,17,0.38,56,7,0
Trent Lofthouse,RW,43,12,4,16,0.37,19,-1,0
Carter Proft,C,72,11,5,16,0.22,193,-7,0
Jordan Messier,RW,62,10,6,16,0.26,39,-12,0
Jon Martin,C,68,9,7,16,0.24,97,-23,0
Bryson Gore,C,69,9,7,16,0.23,46,-23,0
Carter Hansen,D,69,7,9,16,0.23,23,-17,0
Jordan Tkatch,C,61,6,10,16,0.26,18,-2,0
Remi Laurencelle,LW,70,4,12,16,0.23,13,-5,0
Zach Hodder,D,60,3,13,16,0.27,34,-3,0
Ty Stanton,D,44,2,14,16,0.36,29,-6,0
Landon Cross,D,65,1,15,16,0.25,38,24,0
Graeme Craig,D,70,1,15,16,0.23,78,5,0
Tristan Sieben,LW,60,6,9,15,0.25,23,-21,0
Brandon Fushimi,RW,61,6,9,15,0.25,16,-4,0
Jarrett Fontaine,LW,68,6,9,15,0.22,17,-12,0
Kyle O'Connor,C,70,6,9,15,0.21,19,-15,0
Daniel Gibb,D,72,5,10,15,0.21,80,-20,0
Jason Fram,D,60,1,14,15,0.25,20,2,0
Adam Rossignol,C,44,9,5,14,0.32,18,-11,0
Jordyn Boyd,LW,65,8,6,14,0.22,21,-20,0
Jack Rodewald,RW,56,7,7,14,0.25,40,-19,0
Adam Henry,D,32,5,9,14,0.44,36,-7,0
Brandon Potomak,LW,70,5,9,14,0.2,21,-16,0
Blake Orban,D,67,4,10,14,0.21,120,-4,0
Jordan Thomson,D,47,2,12,14,0.3,16,2,0
Carson Stadnyk,RW,70,8,5,13,0.19,27,-33,0
Tyler Wong,RW,54,5,8,13,0.24,37,1,0
Joel Topping,D,63,1,12,13,0.21,35,-7,0
Cole Benson,C,57,7,5,12,0.21,7,-1,0
Riley Whittingham,RW,56,6,6,12,0.21,62,-1,0
Filip Vasko,LW,27,5,7,12,0.44,10,9,0
Brendan Hurley,LW,31,5,7,12,0.39,68,-2,0
Elliott Peterson,LW,38,4,8,12,0.32,20,8,0
Joey Kornelsen,C,60,3,9,12,0.2,39,2,0
Jack Palmer,LW,60,3,9,12,0.2,18,-33,0
Tyler Yaworski,D,63,3,9,12,0.19,147,5,0
Wes Vannieuwenhuizen,D,54,2,10,12,0.22,107,-21,0
Rene Hunter,D,55,2,10,12,0.22,20,-25,0
Ashton Sautner,D,62,2,10,12,0.19,28,22,0
Evan Morden,D,66,2,10,12,0.18,52,-4,0
Brett Roulston,LW,57,8,3,11,0.19,27,-2,0
Ryan Hanes,LW,43,7,4,11,0.26,55,-31,0
Zach McPhee,RW,63,6,5,11,0.17,27,-6,0
Calder Brooks,LW,23,5,6,11,0.48,12,2,0
Chad Labelle,C,62,5,6,11,0.18,39,-11,0
Stathis Soumelidis,C,67,4,7,11,0.16,119,-22,0
Arvin Atwal,D,30,3,8,11,0.37,50,-1,0
Logan Fisher,C,67,3,8,11,0.16,29,-8,0
Riley Stadel,D,49,2,9,11,0.22,21,14,0
Tyson Dallman,C,49,2,9,11,0.22,55,-1,0
Cole Sanford,RW,53,2,9,11,0.21,17,-11,0
Devan Fafard,D,67,1,10,11,0.16,98,11,0
Josh Hanson,D,72,1,10,11,0.15,22,32,0
Jared Hauf,D,72,0,11,11,0.15,80,-18,0
Jordan Wyton,LW,35,5,5,10,0.29,54,1,0
Tanner LeSann,C,67,5,5,10,0.15,119,-8,0
Jakub Procházka,LW,56,3,7,10,0.18,12,-6,0
Taylor Crunk,LW,61,3,7,10,0.16,65,-16,0
Christian Stockl,RW,62,3,7,10,0.16,23,-5,0
Cole Wedman,D,68,3,7,10,0.15,36,1,0
Peter Kosterman,D,56,2,8,10,0.18,32,6,0
Brandon Underwood,D,69,2,8,10,0.14,99,7,0
Raymond Grewal,D,63,1,9,10,0.16,25,-43,0
Spenser Jensen,D,68,1,9,10,0.15,66,-10,0
Dalton Reum,D,72,1,9,10,0.14,64,-10,0
Shayne Gwinner,D,28,5,4,9,0.32,18,3,0
Shaun McPherson,D,32,4,5,9,0.28,19,14,0
Justin Gutierrez,C,48,4,5,9,0.19,35,-5,0
Taylor Vickerman,LW,52,4,5,9,0.17,18,-7,0
Geordie Maguire,LW,65,4,5,9,0.14,18,-21,0
Michael Sofillas,C,52,3,6,9,0.17,31,-2,0
Dawson Leedahl,LW,56,3,6,9,0.16,34,-25,0
Tanner Muth,D,60,3,6,9,0.15,39,-10,0
Tyler Bell,D,69,3,6,9,0.13,92,-12,0
Cole Linaker,C,37,2,7,9,0.24,17,6,0
Jackson Playfair,RW,49,2,7,9,0.18,46,-6,0
Cole MacDonald,D,60,2,7,9,0.15,23,-19,0
Ayrton Nikkel,D,49,0,9,9,0.18,117,-17,0
Austin Daae,LW,30,3,5,8,0.27,4,-3,0
Thomas Foster,C,52,3,5,8,0.15,8,-17,0
Joey Baker,RW,64,1,7,8,0.13,84,-6,0
Lenny Hackman,D,72,1,7,8,0.11,17,3,0
Justin Hamonic,D,72,1,7,8,0.11,38,9,0
Joseph Carvalho,D,31,0,8,8,0.26,8,1,0
Colby Harmsworth,D,46,0,8,8,0.17,8,12,0
Jordan DePape,RW,19,5,2,7,0.37,10,1,0
Brock Hirsche,C,18,4,3,7,0.39,0,0,0
Tim Traber,RW,54,4,3,7,0.13,138,-15,0
Zac Mackay,C,71,4,3,7,0.1,39,-12,0
Mikulas Rimmel,RW,43,3,4,7,0.16,10,-7,0
Carson Bolduc,LW,54,3,4,7,0.13,15,-16,0
Mitch Deacon,LW,58,3,4,7,0.12,43,-16,0
Colton Waltz,D,62,3,4,7,0.11,48,-15,0
Philip Tot,LW,15,2,5,7,0.47,4,0,0
Spencer Galbraith,RW,20,2,5,7,0.35,40,-3,0
Aspen Sterzer,LW,31,2,5,7,0.23,16,-9,0
Braiden Doucette,D,63,2,5,7,0.11,29,-25,0
Taylor Green,D,65,2,5,7,0.11,53,-24,0
Kyle Schmidt,D,18,1,6,7,0.39,11,8,0
Ryan Graham,LW,37,1,6,7,0.19,8,-4,0
Darian Henry,D,63,1,6,7,0.11,120,-10,0
Derek Ryckman,D,65,1,6,7,0.11,67,8,0
Reid Zalitach,D,42,0,7,7,0.17,14,-13,0
Ryley Miller,D,38,3,3,6,0.16,99,-22,0
Jason Trott,C,27,2,4,6,0.22,64,-14,0
Chad Butcher,RW,35,2,4,6,0.17,6,0,0
Colton McCarthy,C,39,2,4,6,0.15,38,-11,0
Luke Bertolucci,RW,41,2,4,6,0.15,4,-2,0
Brayden Low,C,43,2,4,6,0.14,25,-6,0
Scott Feser,LW,31,1,5,6,0.19,9,-5,0
Josh Connolly,D,53,1,5,6,0.11,12,-9,0
Jake Mykitiuk,LW,57,1,5,6,0.11,64,-24,0
Kayle Doetzel,D,49,0,6,6,0.12,20,-4,0
Kord Pankewicz,D,49,0,6,6,0.12,23,-10,0
Michael Mylchreest,D,52,0,6,6,0.12,25,-12,0
Cody Thiel,RW,52,4,1,5,0.1,37,-11,0
Justin Spagrud,LW,39,3,2,5,0.13,6,2,0
Rob Trzonkowski,RW,44,3,2,5,0.11,54,-12,0
Luca Leone,RW,30,2,3,5,0.17,14,-13,0
Kevin Pochuk,D,32,2,3,5,0.16,10,-6,0
Quintin Lisoway,C,38,2,3,5,0.13,9,-12,0
Riley Guenther,D,39,2,3,5,0.13,15,4,0
Michal Holub,RW,50,2,3,5,0.1,31,-10,0
Stephen Hak,D,58,2,3,5,0.09,27,-21,0
Evan Wardley,D,60,2,3,5,0.08,129,-21,0
Connor Gay,RW,35,1,4,5,0.14,4,-10,0
Spencer Morse,D,46,1,4,5,0.11,90,-12,0
Kirill Vorobyov,D,53,1,4,5,0.09,36,10,0
Jeremy McIntosh,D,65,1,4,5,0.08,61,8,0
Jordan Harris,D,17,0,5,5,0.29,6,-9,0
Brent Benson,C,21,0,5,5,0.24,21,-5,0
Layne Viveiros,D,22,0,5,5,0.23,10,2,0
Tyson Predinchuk,RW,25,0,5,5,0.2,4,-1,0
Stewart Coyle,D,37,0,5,5,0.14,12,-14,0
Logan Harland,LW,25,3,1,4,0.16,5,-1,0
Blake Penner,LW,42,3,1,4,0.1,8,-9,0
Logan Aasman,RW,27,2,2,4,0.15,16,-16,0
Tanner Moar,D,29,2,2,4,0.14,31,-14,0
Griffin Foulk,D,60,2,2,4,0.07,50,1,0
Mitch Elliot,LW,63,2,2,4,0.06,147,-11,0
Austin Glover,C,31,1,3,4,0.13,11,2,0
Austin Adam,D,31,1,3,4,0.13,8,-12,0
Stephen Shmoorkoff,D,34,1,3,4,0.12,42,0,0
Ryan Chynoweth,LW,35,1,3,4,0.11,48,-12,0
Josh Thrower,D,37,1,3,4,0.11,46,-5,0
Miles Warkentine,RW,41,1,3,4,0.1,6,-9,0
Rinalds Rosinskis,D,47,1,3,4,0.09,35,-6,0
Josh Uhrich,RW,58,1,3,4,0.07,90,-13,0
Aaron Macklin,LW,62,1,3,4,0.06,45,-9,0
Ben Carroll,D,4,0,4,4,1,0,3,0
Griffin Mumby,D,51,0,4,4,0.08,27,-10,0
Gavin Broadhead,C,47,3,0,3,0.06,27,-13,0
Tanner Lishchynsky,D,52,3,0,3,0.06,17,-26,0
Tyler Alos,C,10,2,1,3,0.3,8,-2,0
Kade Pilton,D,27,2,1,3,0.11,25,-13,0
Matt Staples,D,30,2,1,3,0.1,18,-7,0
Joe Mahon,RW,41,2,1,3,0.07,133,-3,0
Alex Elliott,LW,5,1,2,3,0.6,2,6,0
Adam Power,D,17,1,2,3,0.18,6,-1,0
Austin Calladine,C,33,1,2,3,0.09,12,-7,0
Wil Tomchuk,D,65,1,2,3,0.05,44,-5,0
Lukas Walter,LW,68,1,2,3,0.04,76,-8,0
Jeff Hubic,LW,70,1,2,3,0.04,96,-18,0
Riley Van Horne,D,23,0,3,3,0.13,2,-2,0
Albin Blomqvist,D,31,0,3,3,0.1,43,-4,0
Ryan Gagnon,D,48,0,3,3,0.06,24,-7,0
Daniel Dale,LW,70,0,3,3,0.04,89,-11,0
Antoine Corbin,D,2,2,0,2,1,4,1,0
Markson Bechtold,LW,5,2,0,2,0.4,2,3,0
Mitch Skapski,LW,34,2,0,2,0.06,10,-12,0
Kolten Olynek,C,4,1,1,2,0.5,0,-1,0
Tyler Giebel,C,5,1,1,2,0.4,2,2,0
Alec Baer,C,6,1,1,2,0.33,2,0,0
Tanner Mort,D,7,1,1,2,0.29,5,-5,0
Daniel Asham,C,8,1,1,2,0.25,0,0,0
Fraser Bulbuc,LW,8,1,1,2,0.25,0,0,0
Cole Hamblin,D,8,1,1,2,0.25,4,-1,0
Jessey Astles,LW,22,1,1,2,0.09,43,0,0
Clint Filbrandt,D,31,1,1,2,0.06,17,2,0
Harrison Harper,RW,45,1,1,2,0.04,60,-11,0
Kirk Johnson,D,47,1,1,2,0.04,10,-15,0
Ryley Lindgren,C,4,0,2,2,0.5,0,-1,0
Reid Jackson,D,12,0,2,2,0.17,24,-5,0
Jesse Miller,RW,26,0,2,2,0.08,13,-8,0
Luke Harrison,RW,27,0,2,2,0.07,26,-13,0
Tye Hand,D,31,0,2,2,0.06,58,-2,0
Steven Owre,C,37,0,2,2,0.05,6,-8,0
Tim Vanstone,C,39,0,2,2,0.05,36,-4,0
Kolton Dixon,D,39,0,2,2,0.05,47,-8,0
Mike Simpson,D,65,0,2,2,0.03,82,-14,0
Matt Thomas,D,66,0,2,2,0.03,28,-20,0
Braylon Shmyr,LW,1,1,0,1,1,2,-1,0
Nic Petan,C,71,46,74,120,1.69,43,68,1
Myles Bell,LW,69,38,55,93,1.35,68,46,1
JC Lipon,RW,61,36,53,89,1.46,115,34,1
Hunter Shinkaruk,C,64,37,49,86,1.34,44,-13,1
Sam Reinhart,C,72,35,50,85,1.18,22,8,1
Brenden Kichton,D,71,22,63,85,1.2,30,39,1
Jaedon Descheneau,RW,69,30,48,78,1.13,22,9,1
Morgan Klimchuk,LW,72,36,40,76,1.06,20,-1,1
Oliver Bjorkstrand,RW,65,31,32,63,0.97,10,38,1
Curtis Lazar,C,72,38,23,61,0.85,47,25,1
Leon Draisaitl,C,64,21,37,58,0.91,22,22,1
Brayden Point,C,67,24,33,57,0.85,26,-15,1
Jackson Houck,RW,69,23,34,57,0.83,68,-16,1
Chase De Leo,C,71,18,38,56,0.79,24,28,1
Seth Jones,D,61,14,42,56,0.92,33,46,1
Cole Ully,LW,62,22,28,50,0.81,37,27,1
Shea Theodore,D,71,19,31,50,0.7,32,-24,1
Greg Chase,C,69,17,32,49,0.71,58,11,1
Josh Morrissey,D,70,15,32,47,0.67,91,14,1
Ryan Pulock,D,61,14,31,45,0.74,22,-7,1
Jayce Hawryluk,C,61,18,25,43,0.7,46,-18,1
Austin Carroll,RW,67,15,27,42,0.63,152,-18,1
Eric Roy,D,72,17,22,39,0.54,37,-32,1
Zach Pochiro,LW,65,15,24,39,0.6,105,-4,1
Jake Virtanen,RW,62,16,18,34,0.55,67,25,1
Kyle Burroughs,D,70,5,28,33,0.47,91,-8,1
Mirco Müller,D,63,6,25,31,0.49,57,-10,1
Rourke Chartier,C,58,13,17,30,0.52,16,8,1
Madison Bowey,D,69,12,18,30,0.43,75,41,1
Ryan Pilon,D,57,5,23,28,0.49,63,0,1
Tyrell Goulbourne,LW,64,14,13,27,0.42,135,7,1
Adam Helewka,LW,60,10,17,27,0.45,12,5,1
Dillon Heatherington,D,71,4,23,27,0.38,80,25,1
Tyler Lewington,D,69,2,24,26,0.38,131,14,1
Lukas Sutter,C,72,13,11,24,0.33,168,-8,1
Richard Nejezchleb,LW,35,11,13,24,0.69,34,24,1
Reid Duke,C,57,8,16,24,0.42,30,8,1
Paul Bittner,LW,45,12,11,23,0.51,12,8,1
Jack Walker,LW,58,9,13,22,0.38,21,-6,1
John Quenneville,C,47,8,11,19,0.4,14,-18,1
Haydn Fleury,D,66,4,15,19,0.29,21,4,1
Brycen Martin,D,67,2,17,19,0.28,32,3,1
Colby Williams,D,59,0,19,19,0.32,70,-17,1
Conner Bleackley,C,66,9,9,18,0.27,28,-4,1
Edgars Kulda,LW,64,6,11,17,0.27,34,4,1
Marc McNulty,D,52,8,7,15,0.29,70,-18,1
Mason Geertsen,D,73,2,12,14,0.19,130,-28,1
Adam Brooks,C,55,4,8,12,0.22,13,-10,1
Brandon Baddock,LW,59,7,4,11,0.19,73,-2,1
Chase Lang,C,44,4,7,11,0.25,10,-2,1
Keegan Iverson,RW,47,6,4,10,0.21,69,4,1
Dominic Turgeon,C,54,3,5,8,0.15,2,-2,1
Tanner Faith,D,55,2,6,8,0.15,35,1,1
Mitch Wheaton,D,39,1,7,8,0.21,27,20,1
Keegan Kanzig,D,70,0,7,7,0.1,159,-10,1
Ben Betker,D,68,1,5,6,0.09,100,-21,1
Dysin Mayo,D,42,1,4,5,0.12,12,-3,1
Jakob Stukel,LW,6,2,2,4,0.67,2,-6,1
Brett Pollock,LW,40,2,2,4,0.1,2,-2,1
Nelson Nogier,D,55,0,4,4,0.07,8,7,1
Brad Morrison,C,5,1,2,3,0.6,4,-3,1
Ryan Rehill,D,46,0,3,3,0.07,104,9,1
Justin Kirkland,LW,6,2,0,2,0.33,6,2,1
Deven Sideroff,RW,2,1,1,2,1,0,3,1
Tyler Soy,C,7,1,1,2,0.29,0,1,1
Alex Schoenborn,RW,20,1,1,2,0.1,22,-2,1
Brett Lernout,D,59,1,1,2,0.03,43,-4,1
Giorgio Estephan,C,3,1,0,1,0.33,0,-2,1
Hudson Elynuik,C,4,0,1,1,0.25,4,-1,1
Noah Juulsen,D,1,0,0,0,0,0,-1,1
Chaz Reddekopp,D,1,0,0,0,0,0,0,1
Nicholas Merkley,RW,1,0,0,0,0,0,0,1
Ethan Bear,D,1,0,0,0,0,0,0,1
Keegan Kolesar,RW,1,0,0,0,0,0,-1,1
Austin Wagner,LW,1,0,0,0,0,0,0,1
Glenn Gawdin,C,2,0,0,0,0,0,0,1
Jesse Gabrielle,LW,2,0,0,0,0,7,0,1
Adam Musil,C,3,0,0,0,0,0,-1,1
Jansen Harkins,C,5,0,0,0,0,2,-3,1
Aaron Irving,D,5,0,0,0,0,6,2,1
Parker Wotherspoon,D,5,0,0,0,0,4,-5,1
Sam Ruopp,D,6,0,0,0,0,0,0,1
Mackenze Stewart,D,6,0,0,0,0,0,-1,1
Mitch Holmberg,RW,72,62,56,118,1.64,25,35,0
Todd Fiddler,LW,66,50,48,98,1.48,22,1,0
Joshua Winquist,LW,67,47,46,93,1.39,44,19,0
Curtis Valk,C,72,47,45,92,1.28,36,33,0
Brady Brassart,C,70,35,50,85,1.21,94,11,0
Trevor Cox,LW,70,25,57,82,1.17,46,42,0
Mike Aviani,C,69,38,43,81,1.17,116,29,0
Luke Philp,C,71,31,46,77,1.08,31,2,0
Nathan Burns,LW,68,27,50,77,1.13,58,5,0
Dyson Stevenson,W,66,38,38,76,1.15,121,23,0
Cole Sanford,RW,72,33,40,73,1.01,55,47,0
Boston Leier,LW,65,33,39,72,1.11,55,5,0
Collin Valcourt,LW,71,28,44,72,1.01,90,8,0
Colby Cave,C,72,33,37,70,0.97,30,20,0
Brandon Magee,C,65,25,42,67,1.03,52,30,0
Jay Merkley,C,72,34,32,66,0.92,16,11,0
Rhyse Dieno,RW,65,25,41,66,1.02,36,2,0
Carter Popoff,C,72,13,51,64,0.89,34,-12,0
Cain Franson,LW,66,30,33,63,0.95,44,0,0
Reid Gow,D,65,6,56,62,0.95,77,31,0
Dakota Conroy,RW,66,30,31,61,0.92,24,-2,0
Cody Corbett,D,65,17,44,61,0.94,37,19,0
Klarc Wilson,RW,72,27,33,60,0.83,95,-8,0
Tim McGauley,C,68,21,39,60,0.88,21,-5,0
Ivan Nikolishin,C,72,18,41,59,0.82,16,-4,0
Jason Fram,D,72,6,51,57,0.79,34,26,0
Brian Williams,C,72,36,20,56,0.78,34,-3,0
Axel Blomqvist,LW,65,24,32,56,0.86,24,14,0
Zach Franko,LW,67,21,35,56,0.84,14,24,0
Reid Petryk,C,63,17,39,56,0.89,56,29,0
Jack Rodewald,RW,58,28,27,55,0.95,56,-11,0
Tyson Baillie,C,56,22,33,55,0.98,53,19,0
Sam Fioretti,C,65,20,35,55,0.85,88,-30,0
Rihards Bukarts,LW,65,28,26,54,0.83,50,2,0
Pavel Padakin,RW,66,27,27,54,0.82,59,35,0
Ben Walker,C,71,24,30,54,0.76,61,17,0
Aspen Sterzer,LW,70,29,24,53,0.76,76,-3,0
Roberts Lipsbergs,W,68,33,19,52,0.76,37,1,0
Miles Koules,C,70,25,26,51,0.73,34,3,0
Tanner Eberle,LW,70,22,29,51,0.73,148,-23,0
Sawyer Lange,D,71,7,44,51,0.72,30,-7,0
Riley Sheen,LW,61,19,30,49,0.8,72,-26,0
Matthew Pufahl,D,62,15,34,49,0.79,54,6,0
Connor Rankin,C,64,20,28,48,0.75,32,0,0
Jagger Dirk,D,69,10,38,48,0.7,50,2,0
Justin Hickman,RW,67,22,24,46,0.69,154,7,0
Jordan Tkatch,C,72,16,30,46,0.64,42,-12,0
Joel Hamilton,C,70,13,33,46,0.66,40,5,0
Dylan Bredo,D,72,4,42,46,0.64,51,33,0
Matt Revel,C,73,15,30,45,0.62,18,-27,0
Josh Connolly,D,72,11,34,45,0.63,34,-35,0
Reid Gardiner,RW,70,22,22,44,0.63,39,2,0
Alex Roach,D,56,12,32,44,0.79,59,22,0
Connor Gay,RW,61,19,24,43,0.7,25,13,0
Manraj Singh Hayer,C,54,15,28,43,0.8,16,11,0
Brady Ramsay,RW,72,15,27,42,0.58,142,-55,0
Jayden Hart,C,59,14,28,42,0.71,66,-9,0
Ashton Sautner,D,72,8,34,42,0.58,26,59,0
Matt Bellerive,RW,60,18,23,41,0.68,39,-11,0
Dryden Hunt,LW,62,21,19,40,0.65,64,-3,0
Beau McCue,RW,72,20,20,40,0.56,26,-11,0
Connor Sanvido,RW,68,16,24,40,0.59,37,1,0
Parker Bowles,LW,39,15,25,40,1.03,24,1,0
Adam Henry,D,70,7,32,39,0.56,42,-19,0
Carson Stadnyk,RW,72,23,15,38,0.53,29,-7,0
Philip Tot,LW,51,15,23,38,0.75,20,5,0
Russell Maxwell,C,71,15,22,37,0.52,71,-18,0
Jesse Zgraggen,D,70,5,32,37,0.53,97,26,0
Dominik Volek,W,55,20,16,36,0.65,17,2,0
Lucas Nickles,LW,72,17,19,36,0.5,47,6,0
Torrin White,RW,72,16,20,36,0.5,20,-29,0
Jesse Forsberg,D,60,10,26,36,0.6,137,-11,0
Jamal Watson,LW,63,18,17,35,0.56,58,-35,0
Riley Kieser,C,72,14,21,35,0.49,49,25,0
Braden Christoffer,LW,61,13,22,35,0.57,130,-1,0
Matt Needham,C,48,12,23,35,0.73,37,3,0
Riley Stadel,D,63,10,25,35,0.56,62,12,0
Kris Schmidli,C,68,9,26,35,0.51,46,11,0
Cory Millette,LW,63,17,17,34,0.54,26,-26,0
Brett Cote,D,72,6,28,34,0.47,42,-2,0
Rene Hunter,D,63,4,30,34,0.54,70,0,0
Brooks Maxwell,RW,60,14,19,33,0.55,25,-3,0
Nick Zajac,LW,61,11,22,33,0.54,88,-22,0
Chase Witala,LW,43,18,14,32,0.74,17,-7,0
Connor Chartier,RW,72,14,18,32,0.44,16,2,0
Riley Whittingham,RW,70,13,19,32,0.46,88,16,0
Steven Owre,C,70,12,20,32,0.46,42,6,0
Austin Vetterl,RW,72,12,20,32,0.44,47,-2,0
Elliott Peterson,LW,59,11,21,32,0.54,43,16,0
Dawson Leedahl,LW,70,8,24,32,0.46,66,-3,0
Chad Robinson,C,72,7,25,32,0.44,31,-7,0
Chase Souto,RW,47,20,11,31,0.66,49,-3,0
Tyler Wong,RW,52,17,14,31,0.6,56,-33,0
Calder Brooks,LW,66,15,16,31,0.47,14,3,0
Wyatt Johnson,C,61,14,17,31,0.51,77,9,0
Marcus Messier,C,71,10,21,31,0.44,20,-8,0
Macoy Erkamps,D,66,5,26,31,0.47,83,-62,0
Brady Gaudet,D,71,5,26,31,0.44,79,-15,0
Graeme Craig,D,71,5,26,31,0.44,77,-22,0
Dalton Sward,C,56,18,12,30,0.54,66,4,0
Brett Stovin,RW,61,14,16,30,0.49,16,-17,0
Tyler Sandhu,C,49,13,17,30,0.61,10,-1,0
Presten Kopeck,C,51,10,20,30,0.59,16,1,0
Carson Perreaux,LW,72,18,11,29,0.4,41,-18,0
Dylan Busenius,D,68,9,20,29,0.43,58,-34,0
Colton Heffley,C,71,8,21,29,0.41,85,24,0
Carter Rigby,LW,51,18,10,28,0.55,50,23,0
Scott Feser,LW,46,15,13,28,0.61,23,5,0
Kohl Bauml,C,65,14,14,28,0.43,12,-13,0
Zane Jones,LW,53,13,15,28,0.53,68,15,0
Liam Stewart,C,43,7,21,28,0.65,27,13,0
Alex Forsberg,LW,44,6,22,28,0.64,33,-24,0
MacKenzie Johnston,D,66,5,23,28,0.42,30,-39,0
Collin Shirley,LW,70,14,13,27,0.39,26,-26,0
Chase Clayton,C,69,12,15,27,0.39,78,-18,0
Dominic Zwerger,LW,53,16,10,26,0.49,20,14,0
Cameron Hebig,C,67,13,13,26,0.39,20,-35,0
Jens Meilleur,RW,67,11,15,26,0.39,15,3,0
Logan McVeigh,C,67,11,15,26,0.39,17,2,0
Andrew Johnson,C,72,11,15,26,0.36,74,5,0
Kyle Becker,D,63,8,18,26,0.41,39,-3,0
Anthony Ast,C,52,17,8,25,0.48,18,8,0
Keanu Yamamoto,RW,57,11,14,25,0.44,12,-1,0
Chad Butcher,RW,63,6,19,25,0.4,21,13,0
Alexei Sleptsov,D,66,4,21,25,0.38,44,-20,0
Brandon Fushimi,RW,62,13,11,24,0.39,22,7,0
Tyson Ness,LW,48,12,12,24,0.5,12,-15,0
Taylor Cooper,LW,65,12,12,24,0.37,42,-17,0
Thomas Foster,C,71,8,16,24,0.34,34,-17,0
Mitch Topping,D,50,7,17,24,0.48,28,-9,0
Shane Danyluk,C,71,7,17,24,0.34,29,-15,0
Chance Braid,LW,72,7,17,24,0.33,93,-21,0
Joe Hicketts,D,36,6,18,24,0.67,12,25,0
Patrick D'Amico,C,48,6,18,24,0.5,42,8,0
Ryan Graham,LW,70,15,8,23,0.33,37,-39,0
Tim Traber,RW,64,12,11,23,0.36,162,-4,0
Carter Proft,C,72,11,12,23,0.32,145,1,0
Jacob Doty,C,68,10,13,23,0.34,83,0,0
Quintin Lisoway,C,69,9,14,23,0.33,13,-2,0
Mads Eller,W,54,8,15,23,0.43,54,19,0
Markus Eisenschmid,C,56,7,16,23,0.41,20,-7,0
Tyler Morrison,D,65,6,17,23,0.35,23,-7,0
Blake Penner,LW,52,11,11,22,0.42,33,3,0
Cole Linaker,C,70,11,11,22,0.31,19,20,0
Levi Cable,LW,70,10,12,22,0.31,13,0,0
Seth Swenson,RW,68,8,14,22,0.32,37,-31,0
Logan Fisher,C,72,7,15,22,0.31,48,4,0
Arvin Atwal,D,58,5,17,22,0.38,83,-9,0
Ty Stanton,D,65,5,17,22,0.34,50,9,0
Blake Orban,D,67,5,17,22,0.33,137,33,0
Tyler Coulter,LW,52,8,13,21,0.4,27,2,0
Zachary Zborosky,RW,66,8,13,21,0.32,10,-1,0
Justin Gutierrez,C,70,3,18,21,0.3,103,-14,0
Cole Martin,D,72,0,21,21,0.29,48,61,0
Jessey Astles,LW,50,11,9,20,0.4,67,0,0
Josh Uhrich,RW,68,9,11,20,0.29,105,-9,0
Brayden Low,C,69,8,12,20,0.29,63,-6,0
Luke Bertolucci,RW,63,6,14,20,0.32,21,4,0
Landon Peel,D,63,4,16,20,0.32,31,4,0
Layne Viveiros,D,63,3,17,20,0.32,32,21,0
Tyler King,D,69,2,18,20,0.29,42,-1,0
